"Id","Player","FantPt","Season","Age","Team","G","GS","FantPt","PPR","FantPt","PPR/G","Pos"
213,"Jake Brendel","0.2",2024,32,"SFO",17,17,"0.2","0.2","0.01","0.01","C"
214,"Julius Brents","0.0",2024,24,"IND",2,1,"0.0","0.0","0.00","0.00","CB"
215,"Bryan Bresee","0.0",2024,23,"NOR",17,11,"0.0","0.0","0.00","0.00","DT"
216,"Aaron Brewer","0.0",2024,34,"ARI",17,0,"0.0","0.0","0.00","0.00","LS"
217,"Aaron Brewer","0.0",2024,27,"MIA",17,17,"0.0","0.0","0.00","0.00","C"
218,"C.J. Brewer","0.0",2024,27,"TAM",12,0,"0.0","0.0","0.00","0.00","DL"
219,"Chandler Brewer","0.0",2024,27,"TEN",1,0,"0.0","0.0","0.00","0.00","OT"
220,"Teddy Bridgewater","0.0",2024,32,"DET",0,0,"0.0","0.0",,,"QB"
221,"Jowon Briggs","0.0",2024,23,"CLE",6,0,"0.0","0.0","0.00","0.00","DT"
222,"Gary Brightwell","0.0",2024,25,"CLE",2,0,"0.0","0.0","0.00","0.00","RB"
223,"Jaquan Brisker","0.0",2024,25,"CHI",5,5,"0.0","0.0","0.00","0.00","DB"
224,"Jacoby Brissett","45.2",2024,32,"NWE",8,5,"45.2","45.2","5.65","5.65","QB"
225,"K.J. Britt","0.0",2024,25,"TAM",14,11,"0.0","0.0","0.00","0.00","RILB"
226,"Nick Broeker","0.0",2024,24,"HOU",9,0,"0.0","0.0","0.00","0.00","G"
227,"British Brooks","0.2",2024,25,"HOU",5,0,"0.2","0.2","0.04","0.04","RB"
228,"Chris Brooks","31.2",2024,24,"GNB",15,0,"31.2","42.2","2.08","2.81","RB"
229,"Jalen Brooks","23.7",2024,24,"DAL",14,1,"23.7","35.7","1.69","2.55","WR"
230,"Jonathon Brooks","4.5",2024,21,"CAR",3,1,"4.5","7.5","1.5","2.5","RB"
231,"Jordyn Brooks","0.0",2024,27,"MIA",17,17,"0.0","0.0","0.00","0.00","RILB"
232,"Karl Brooks","0.0",2024,24,"GNB",17,0,"0.0","0.0","0.00","0.00","DL"
233,"Kendell Brooks","0.0",2024,24,"TEN",5,0,"0.0","0.0","0.00","0.00","S"
234,"Natrone Brooks","0.0",2024,25,"ATL",9,0,"0.0","0.0","0.00","0.00","CB"
235,"A.J. Brown","149.9",2024,27,"PHI",13,13,"149.9","216.9","11.53","16.68","WR"
236,"Ben Brown","0.0",2024,26,"NWE",10,10,"0.0","0.0","0.00","0.00","C"
237,"Bobby Brown","0.0",2024,24,"LAR",17,16,"0.0","0.0","0.00","0.00","NT"
238,"Chase Brown","201.0",2024,24,"CIN",16,10,"201.0","255.0","12.56","15.94","RB"
239,"Derrick Brown","0.0",2024,26,"CAR",1,1,"0.0","0.0","0.00","0.00","DE"
240,"Dyami Brown","37.4",2024,25,"WAS",16,3,"37.4","67.4","2.34","4.21","WR"
241,"Earnest Brown IV","0.0",2024,25,"TAM",3,0,"0.0","0.0","0.00","0.00","DE"
242,"Evan Brown","0.0",2024,28,"ARI",17,17,"0.0","0.0","0.00","0.00","LG"
243,"Ji'Ayir Brown","0.0",2024,24,"SFO",17,13,"0.0","0.0","0.00","0.00","FS"
244,"Marquise Brown","9.1",2024,27,"KAN",2,1,"9.1","18.1","4.55","9.05","WR"
245,"Mike Brown","0.0",2024,25,"TEN",17,4,"0.0","0.0","0.00","0.00","S"
246,"Montaric Brown","0.0",2024,25,"JAX",17,10,"0.0","0.0","0.00","0.00","CB"
247,"Noah Brown","51.3",2024,28,"WAS",11,9,"51.3","86.3","4.66","7.85","WR"
